title,description,rating,positive_ratio,user_reviews,price_final,tags,title-1,Indie,Singleplayer,Action,Adventure,Casual,2D,Simulation,Strategy,Atmospheric,RPG,Puzzle,Story Rich,Multiplayer,3D,Pixel Graphics,Exploration,Colorful,Cute,First-Person,Early Access,Fantasy,Funny,Free to Play,Horror,Anime,Arcade,Shooter,Retro,Female Protagonist,Family Friendly
Christmas Stories: A Christmas Carol Collector's Edition,Everyone deserves a second chance – even the stingiest of them all.,Positive,92,40,9.99,"['Adventure', 'Casual', 'Hidden Object']",6098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leisure Suit Larry - Magna Cum Laude Uncut and Uncensored,"With gorgeous co-eds everywhere, college dweeb Larry Lovage is chasing around more than his diploma. He's trying to live up to the legend of his uncle, Larry Laffer, everyone's favourite polyester playboy. Larry Lovage is a typical college student.",Mostly Positive,78,341,5.99,"['Adventure', 'Sexual Content', 'Nudity', 'Mature', 'Comedy', 'Singleplayer', 'Point & Click', 'Funny', 'NSFW']",18386,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FIGHT KNIGHT,FIGHT KNIGHT is a first-person dungeon-brawler! Grid-based dungeon crawling meets action-packed real time enemy encounters. Fight your way through puzzles and enemies to save those trapped in the Tower's eternal night!,Very Positive,94,731,15.59,"['Action', 'Indie', 'Adventure', 'Dungeon Crawler', 'First-Person', 'RPG', ""Beat 'em up"", 'Grid-Based Movement', 'Pixel Graphics', 'Comedy', 'Dark Fantasy', 'Fantasy', 'Retro', 'Action RPG', 'Puzzle', 'Rhythm', 'Hack and Slash', '2D', 'Cartoony', 'Souls-like']",11374,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Heroes Of Hellas 4: Birth Of Legend,Be the hero Olympus needs and rise from its ashes today!,Positive,93,32,5.99,"['Adventure', 'Casual', 'Strategy', 'Match 3', 'Singleplayer', 'Indie', 'Addictive']",15056,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ: chemistry,JQ: chemistry - is a quiz game about chemical elements in which a player must choose the correct answer from 4 options.,Very Positive,82,86,2.99,"['Casual', 'Indie', 'Education', 'Singleplayer', 'Family Friendly', 'Short']",16800,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quixer,"Quixer is a quick and seamless volume mixer. It allows for specific application's volume to be adjusted without the hassle of having to go inside Windows volume mixer feature or any kind of settings. It works for both applications and games, and requires very little setup, if any at all.",Positive,88,35,2.99,"['Utilities', 'Indie', 'Software']",25584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project CARS 3,"Journey from weekend warrior to racing legend & experience the thrill & emotion of authentic racing. Own, upgrade and personalise hundreds of cars, customise your driver, tailor every setting & play the way you want in YOUR Ultimate Driver Journey.",Mixed,53,1808,59.99,"['Racing', 'Arcade', 'Action', 'Sports', 'First-Person', 'Automobile Sim', 'Third Person', 'Simulation', '3D Vision', 'Immersive Sim', 'Realistic', 'Modern', 'Atmospheric', 'Driving', 'PvP', 'Physics', 'Multiplayer', 'VR', 'Singleplayer', 'Asynchronous Multiplayer']",25040,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Close to the Sun,"Deep in international waters, Tesla’s Helios stands still. An unbound utopia for scientific research, Rose Archer steps aboard in search of her sister, quickly to discover not all is as it seems. A single word covers the entrance… QUARANTINE!",Mostly Positive,75,469,19.99,"['Adventure', 'Indie', 'Gore', 'Walking Simulator', 'Steampunk', 'Horror', 'Violent', 'Female Protagonist', 'First-Person', 'Singleplayer']",6404,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
The Lord of the Rings: Journeys in Middle-earth,"A companion app for The Lord of the Rings: Journeys in Middle-earth board game from Fantasy Flight Games, a fully-cooperative board game for one to five players! This companion app dictates the setup of each encounter, tracks your party’s inventory and skills, and resolves combat while you brave the looming forests, quiet clearings, and...",Very Positive,90,632,0,"['Adventure', 'RPG', 'Strategy', 'Board Game', 'Free to Play']",33411,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mutazione,"A mutant soap opera where small-town gossip meets the supernatural. Explore the Mutazione community as Kai as she cares for her ailing grandfather. Discover magical gardens, new friends & old secrets. They can survive an apocalyptic meteor strike, but can they survive their small-town drama?",Overwhelmingly Positive,96,681,19.99,"['Relaxing', 'Story Rich', 'Walking Simulator', 'Atmospheric', 'Interactive Fiction', 'Supernatural', 'Mystery', 'Drama', 'Female Protagonist', 'Adventure', 'Singleplayer', 'Cute', '2D', 'Colorful', 'Exploration', 'Dark', 'Side Scroller', 'Point & Click', 'Nature', 'Music-Based Procedural Generation']",21338,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Twin Ruin,"Switch bullet hell into bullet heaven. Jump into a world filled with enemies and powerups, race to harvest all the power you can before the area is consumed by a engulfing fire storm. Try Survival and try and last 3 mins, and top the leaderboard.",Positive,86,15,6.99,"['Twin Stick Shooter', 'Bullet Hell', 'Action', 'Indie', 'Arcade', 'Top-Down Shooter', 'Mechs', 'Sci-fi', 'Difficult', 'Old School', ""Shoot 'Em Up"", 'Action RPG', 'Action Roguelike', 'Roguelite', 'Score Attack', '3D', 'Realistic', 'Third Person', 'Futuristic', 'Robots']",35501,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1000 days to escape,"Only 1000 days left until the end of the world. You have to realize the largest space program ever to save as many people as you can. Explore planets, colonize them, help people find a new home.",Very Positive,82,304,4.99,"['Casual', 'Indie', 'Space', 'Arcade', 'Simulation', 'Space Sim', 'Aliens', '2D', 'Sci-fi', 'Funny', 'Singleplayer', 'Beautiful', 'Science', 'Mars']",91,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Paranormal Detective: Escape from the 80's,"A nostalgic 80's VR escape room puzzle adventure! You're a detective searching for a kid who went missing in 1987. Explore the kid's game room, play with retro toys, figure out puzzles and find the kid to solve the case!",Very Positive,94,58,9.99,"['Escape Room', 'VR', 'Puzzle', '1980s', 'Simulation', 'Adventure', 'Casual', 'Immersive', 'Investigation', 'Retro', 'Nostalgia', 'Mystery', 'Music', 'Funny', 'Arcade', 'Robots', 'Indie', 'Detective', 'Story Rich', 'Singleplayer']",23799,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Dwerve,"An epic action-adventure with tower defense combat! Dungeon crawl through a ruined kingdom, fending off hordes with turrets and traps! Punch them into pits! Pull them into spinblades! Zap and burn them!",Mostly Positive,71,403,19.99,"['Action-Adventure', 'Tower Defense', 'Dungeon Crawler', 'RPG', 'Pixel Graphics', 'Story Rich', 'Action RPG', 'Tactical RPG', 'Strategy RPG', 'Action', 'CRPG', 'Adventure', 'Tactical', 'Strategy', 'Hack and Slash', 'Fantasy', 'Real Time Tactics', 'Difficult', 'Indie', 'Retro']",10145,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Tower Princess,"A charming 3D roguelite platformer about a normal day in the life of a knight! Sharpen the spear and make the Dragon run in fear! Oh, and also try to manage a date with princesses & princes you rescue.",Mixed,62,58,19.99,"['Adventure', 'Action', '3D Platformer', '3D', 'Platformer', 'Casual', 'Action Roguelike', 'Cute', 'Cartoony', 'Comedy', 'Funny', 'Roguelite', 'Roguelike', 'Colorful', 'Third Person', 'Atmospheric', 'Exploration', 'Indie', 'Singleplayer', 'Fantasy']",34953,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Frog Detective 3: Corruption at Cowboy County,"You're a detective, and a frog, and it's time to solve a mystery in the wild west.",Overwhelmingly Positive,99,865,4.99,"['Comedy', 'Funny', 'Short', 'Casual', 'Cute', 'Mystery', 'Detective', 'Exploration', 'Investigation', 'Colorful', 'Relaxing', 'Walking Simulator', 'Point & Click', 'Sequel', 'Soundtrack', 'Indie', 'Interactive Fiction', 'Adventure', 'Singleplayer']",12771,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Escape the Ayuwoki,"Escape The Ayuwoki is a first person horror-adventure videogame, in which you need to escape from a haunted mansion as quiet as possible, to evade the hideous creature called ""The Ayuwoki"". Stealth Mode will be your ally!",Very Positive,80,610,9.99,"['Survival Horror', 'Psychological Horror', 'Violent', 'First-Person', 'Horror', 'Gore', 'Atmospheric', 'Mystery', 'Assassin', 'Singleplayer', 'Story Rich', 'Indie', 'Action', 'Adventure', 'Strategy', 'Dark', 'Action-Adventure', 'Exploration', '3D', 'Cinematic']",10961,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Lynn  The Girl Drawn On Puzzles,"[] In this Oriental Painting, there are many mazes and monsters created by the Nine-tailed Fox.Let's safely guide Lynn back home by moving the puzzle pieces drawn on top of the Oriental Painting.",Very Positive,84,50,7.99,"['Atmospheric', 'Puzzle', 'Story Rich', 'Indie', 'Experimental', 'Anime', 'Cute', 'Hand-drawn', 'Difficult', 'Strategy', 'Colorful', 'Adventure', 'Female Protagonist', 'Cartoony', 'Narration', '2D', 'Casual', 'Abstract', 'Point & Click', 'Education']",19259,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Hubris,"Hubris is a VR action-adventure game set in a unique and colourful Sci-Fi universe, with immersive movement options, including swimming, climbing, and jumping. Players will have to gather resources, craft food and upgrade their weapons to fight off alien wildlife, droids, and humanoid enemies.",Mostly Positive,75,277,29.99,"['VR', 'Action', 'Adventure', 'Sci-fi', 'Shooter', 'Story Rich', 'Exploration', 'Combat', 'First-Person', 'Gun Customization', 'FPS', 'Narration', '3D Platformer', 'Realistic', 'Action-Adventure', '3D', 'Atmospheric', 'Futuristic', 'Space', '6DOF']",15679,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Loop Hero,"The Lich has thrown the world into a timeless loop and plunged its inhabitants into never ending chaos. Wield an expanding deck of mystical cards to place enemies, buildings, and terrain along each unique expedition loop for the brave hero.",Very Positive,93,28429,14.99,"['Tactical', 'Deckbuilding', 'Roguelike', 'Choices Matter', 'Pixel Graphics', 'Indie', 'Roguelite', 'Card Game', 'Resource Management', 'Strategy RPG', '2D', 'Dark Fantasy', 'Old School', 'Story Rich', 'Fantasy', 'RPG', 'Time Management', 'Turn-Based Tactics', 'Minimalist', 'Adventure']",18874,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Car Parking Simulator VR,"Car Parking Simulator is a fully interactive, realistic and immersive car parking experience. The game has one of the best vehicle physics simulations in VR.",Mostly Positive,75,40,14.99,"['Racing', 'Indie', 'Simulation', 'VR', 'Driving', 'Puzzle']",5430,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSBOW: Bloodnight,CROSSBOW: Bloodnight is a frantic score-attack arena shooter set in a world of camp horror and gore. Master the occult powers of your automatic crossbow and fight for every second of survival against a relentless demonic horde! Hunt. Die. Hunt again.,Very Positive,84,238,2.99,"['Arena Shooter', 'FPS', 'Horror', 'Action', 'Difficult', 'Shooter', 'Arcade', '3D', 'Bullet Time', 'Score Attack', 'Gore', 'Violent', 'Gothic', 'Demons', 'Singleplayer', 'Fast-Paced']",5195,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Karting,Climb aboard your kart and beat records alone or with friends in a unique arcade game!,Very Positive,87,422,1.99,"['Racing', 'Casual', 'Multiplayer', 'Simulation', 'PvP', 'Indie', 'Singleplayer', 'Third Person', 'Arcade', 'Sports', 'Family Friendly', 'Automobile Sim', 'Relaxing', 'Action', 'Score Attack']",17304,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Horrorscope: Fatal Awakening,"You will answer a series of questions that will reveal your potential fate. These questions may make you uncomfortable, but with great knowledge comes great sacrifice. Can you make it all the way through The Horrorscope, and if you do, are you sure you want the answers you seek?",Very Positive,93,381,1.99,"['Choices Matter', 'Multiple Endings', 'Story Rich', 'Psychological Horror', 'Simulation', 'Choose Your Own Adventure', 'Horror', 'Supernatural', 'Visual Novel', 'Immersive Sim', 'Survival Horror', 'Life Sim', 'Casual', 'Psychological', 'Interactive Fiction', 'Survival', 'RPG', 'Atmospheric', 'Conspiracy', 'Open World']",33100,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Starsand,"Starsand is a mystic survival game set among the dunes of an arcane desert. An open-world full of danger, vast environments and mysterious happenings await you! Explore, hunt, craft, build – and SURVIVE.",Mostly Positive,74,623,19.99,"['Open World Survival Craft', 'Survival', 'Open World', 'Realistic', '3D', 'First-Person', 'Exploration', 'Crafting', 'Base Building', 'Inventory Management', 'Resource Management', 'Sci-fi', 'Atmospheric', 'Story Rich', 'Mystery', 'Sandbox', 'Singleplayer', 'Building', 'Aliens', 'Adventure']",30519,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blaston,"In the slow-motion bullet-hell of Blaston, you duck, dodge, and weave to evade incoming attacks while preparing your dazzling next combos in a flash of skill. You feel like Neo and leave each session with your heart racing in this super fun tactical workout. Most importantly... Never. Stay. Still.",Very Positive,92,485,0,"['VR', 'Multiplayer', 'Competitive', 'PvP', 'Cyberpunk', 'Fast-Paced', '3D', 'FPS', 'Bullet Hell', 'Shooter', '3D Fighter', 'Arcade', 'Character Customization', 'Bullet Time', 'First-Person', 'Action', 'Casual', 'Sports', 'Arena Shooter', '6DOF']",4138,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Transiruby,Explore the mysteries of an unknown land! ”Transiruby '' is a metroidvania game where you explore the world as a cyborg protagonist named Siruby. Slash and shoot your way to reveal its hidden secrets!,Very Positive,93,166,14.99,"['Pixel Graphics', 'Metroidvania', 'Action', 'Action-Adventure', '2D Platformer', 'Fantasy', 'Cute', 'Platformer', 'Hack and Slash', '2D', 'Side Scroller', 'Singleplayer', 'Female Protagonist', 'Atmospheric', 'Sci-fi']",35103,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Monster Outbreak,"The King's dimensional orb has malfunctioned, bringing hordes of monsters into the Kingdom. Defend your safeground against the monsters by gathering resources, building defenses, upgrading your arsenal, and surviving long enough to find the source of monsters and destroy it.",Mostly Positive,70,67,9.89,"['Survival', 'Co-op', 'Multiplayer', 'Hack and Slash', 'Crafting', 'Base Building', 'Tower Defense', 'Controller', 'Action', 'Arcade', 'Strategy', '2D', 'Split Screen', 'Exploration', 'Cute', 'Local Co-Op', 'Pixel Graphics', 'Fantasy', 'Building', 'Local Multiplayer']",20900,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
VAR: Exterminate,"The fight is here, humanity’s fate is in your hands! Match up different offensive and defensive upgrades between waves and fend off the onslaught of zombies. Level up and strengthen core abilities and progress to new areas where strains of the virus have evolved.",Very Positive,90,110,9.74,"['Arcade', 'Shooter', 'VR', 'Action', 'Choices Matter', 'Casual', 'Survival Horror', 'Zombies', ""Shoot 'Em Up"", 'Roguelite', 'Roguelike', 'Early Access', 'Singleplayer', 'FPS', 'First-Person', 'Gore', 'Adventure', 'Horror', 'Sci-fi', 'Score Attack']",36051,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
Slow living with Princess,"Gideon Ragnason was banished from Ruti's party because he was ""not strong enough."" Since then, he has retired from the front lines of battle and changed his name to Red. Now, he has opened an apothecary in the frontier land of Zoltan, and hopes to live a slow and happy life there!",Very Positive,92,432,8.99,"['Early Access', 'Farming Sim', 'Anime', 'Dating Sim', 'Simulation', 'Romance', 'City Builder', 'Cute', '2D', 'Multiple Endings', 'Exploration', 'Comic Book', 'Fishing', 'Hunting', 'Cooking', 'Choose Your Own Adventure', 'Tutorial', 'Controller', 'Singleplayer', 'Agriculture']",29344,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Baldo: The Guardian Owls,"The prophecy is coming true, a pure-heart child has been born. The no-heart creature sealed in the underworld by the wise owls is destined to rise again.",Mixed,63,153,24.99,"['Action', 'RPG', 'Action RPG', 'Action-Adventure', 'Puzzle', 'Choose Your Own Adventure', 'Mystery Dungeon', 'Exploration', '3D', 'Anime', 'Cartoon', 'Cartoony', 'Cinematic', 'Colorful', 'Comic Book', 'Cute', 'Hand-drawn', 'Cats', 'Family Friendly', 'Fantasy']",3217,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
171,171 is an open world action adventure game with a Brazilian inspired ambience.,Mostly Positive,78,1848,19.99,"['Action', 'Indie', 'Gore', 'Crime', 'Open World', 'Violent', 'Shooter', 'Heist', 'Singleplayer', 'Third Person', 'Sandbox', 'Third-Person Shooter', 'Early Access', 'Sexual Content', 'Multiplayer']",160,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Sprocket,"Carefully balance mobility, firepower and armour in a dedicated tank designer. Then uncarefully put them to the test in a series of combat scenarios progressing through the ages of the tank. Here, your limit is what you can fit inside your hull and turret while still being able to move forwards.",Very Positive,93,6083,19.99,"['Early Access', 'Sandbox', 'Building', 'Wargame', 'War', 'Military', 'Vehicular Combat', 'Third-Person Shooter', 'World War II', 'World War I', 'Physics', 'Cold War', 'PvE', 'Character Customization', '3D', 'Third Person', 'Gun Customization', 'Alternate History', 'Action', 'Procedural Generation']",30282,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Kids We Were,A cinematic adventure game with a heavy focus on narrative.,Very Positive,92,68,15.99,"['Indie', 'Voxel', 'Adventure', 'Drama', '1980s', 'Emotional', 'Story Rich', 'Singleplayer', 'Choose Your Own Adventure']",33201,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of Bounds,"Out of Bounds is a puzzle shooter where you need to ""create"" a game while ""fixing"" bugs!",Positive,100,15,4.99,"['Action', 'Platformer', 'Puzzle', 'Shooter', '3D Platformer', 'FPS', 'Puzzle Platformer', 'Abstract', 'Cartoony', 'Colorful', 'Cute', 'Programming', 'Game Development', 'First-Person', 'Comedy', 'Quick-Time Events', 'Sci-fi', 'Singleplayer', 'Psychedelic', 'Casual']",23279,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Poptropica,"Join millions of players in the adventures of Poptropica! Establish yourself as the hero of your story while exploring mysterious lands and completing immersive quests. Uncover ancient mysteries, solve puzzles, and collect exclusive rewards throughout your travels.",Mostly Positive,72,79,19.99,"['Adventure', 'Casual', 'Action-Adventure', 'Platformer', '2D Platformer', 'Exploration', 'Puzzle Platformer', '2D', 'Cartoony', 'Colorful', 'Cute', 'Family Friendly', 'Fantasy', 'Character Customization', 'Story Rich', 'Multiplayer', 'Singleplayer']",24697,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Darxanadon,"Explore a massive interconnected labyrinth of grottos, castles, and groves in this 2D retro-inspired Action RPG.",Mixed,65,40,2.49,"['Action RPG', 'Metroidvania', 'Souls-like', 'Side Scroller', '2D Platformer', 'Action-Adventure', 'RPG', 'Female Protagonist', '2D', 'Action', 'Controller', 'Nonlinear', 'Pixel Graphics', 'Dark Fantasy', 'Medieval', 'Adventure', 'Atmospheric', 'Old School', 'Singleplayer', 'Indie']",8130,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Raubritter,"Build your medieval castle, hunt animals and craft medieval gear. A great game to chill after hard day of work. Version 0.33 - Thank you for your support.",Mostly Positive,71,188,24.99,"['Early Access', 'Simulation', 'Immersive Sim', 'Survival', 'RPG', 'City Builder', 'Sandbox', 'Swordplay', 'Heist', 'Hunting', 'Exploration', 'Choose Your Own Adventure', 'First-Person', 'Realistic', 'Building', 'Cooking', 'Mining', 'Management', 'Economy', 'Strategy RPG']",26024,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OverNight,"So, are you up for a challenge? Can you survive the night with the Spirits at some of the most haunted locations in the world? And if you are afraid of ghosts and paranormal activities, you better team up with your friends because every horror is little less scary when you are not alone in the dark.",Mixed,46,15,13.99,"['Horror', 'Online Co-Op', 'Survival Horror', 'Psychological Horror', 'Multiplayer', 'Co-op', 'Team-Based', 'First-Person', 'Demons', 'Atmospheric', 'Supernatural', 'Mystery', 'Dark', 'Early Access', 'Singleplayer', 'Indie', '3D']",23348,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
I commissioned some bees,I paid 10 artists to hide bees in their artwork. Can you find them all? Warning: Relaxing.,Very Positive,95,133,1.99,"['Point & Click', 'Hidden Object', 'Casual', 'Stylized', 'Creature Collector', '2D', 'Cartoon', 'Cute', 'Colorful', 'Fantasy', 'Surreal', 'Atmospheric', 'Exploration', 'Psychedelic', 'Puzzle', 'Design & Illustration', 'Abstract', 'Relaxing', 'Nature', 'Hand-drawn']",15898,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Her World,We invite you to experience this chillingly sweet romance.,Very Positive,98,310,14.99,"['Visual Novel', 'Casual', 'Dating Sim', 'Horror', 'Cute', 'Romance', 'Story Rich', 'Anime', 'Indie', 'Singleplayer', 'Sexual Content', 'Simulation', 'Zombies', 'Free to Play', 'Adventure', 'Mature', 'Nudity', 'Clicker', 'Hentai', 'Point & Click']",14984,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Budgie Genetics Simulator,Breed budgies and discover hidden colour mutations in this realistic genetics simulator.,Positive,100,10,6.99,"['Casual', 'Simulation', '3D', 'Nature', 'Singleplayer']",4863,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones® and the Fate of Atlantis™,The Man With The Hat Is Back In His Greatest Adventure Yet! 1939 - The eve of World War II. Nazi agents are about to get their hands on a weapon more dangerous than the atom bomb. Only Indy can stop them before they unleash the deadly secret that sank Atlantis.,Very Positive,94,1012,2.09,"['Adventure', 'Point & Click', 'Classic', ""1990's"", 'Singleplayer', 'Great Soundtrack', 'Pixel Graphics', 'Retro', 'Story Rich', 'Cult Classic', 'Action', 'Action-Adventure', 'Funny', 'Puzzle', 'Remake', '2D', 'Atmospheric', 'Old School', 'Movie']",16313,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Second Sight,"Combining an atmospheric, psychological thriller narrative with paranormal psychic abilities, stealthy exploration and intense shooter action, Second Sight brings a new dimension to stealth action games, giving players control of a character endowed with incredible psychic abilities.",Very Positive,83,130,9.99,"['Action', 'Third-Person Shooter', 'Classic', 'Stealth', 'Cult Classic', 'Psychological', 'Story Rich']",28291,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunting Unlimited™ 2008,The Ultimate PC Hunting Experience Is Back...Bigger and Better Than Ever! Jump Right Into the Action with Hunting Unlimited 2008™! Get up close and personal with the big game you seek. Gone are the endless hours of empty forests and unused shots. The search for the elusive prized trophy has never been more action packed or more realistic.,Positive,85,47,9.99,"['Action', 'Adventure', 'Strategy', 'Hunting']",15747,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog 4 - Episode II,"The Sonic 4 Saga continues in Episode II with the return of a beloved side kick and fan-favorite villains! Following the events of Episode I, Metal Sonic has returned to form an alliance with Dr. Eggman! To face this new evil, Sonic will have to call upon an old friend to help him save the day!",Mostly Positive,79,1189,9.99,"['Adventure', 'Platformer', 'Co-op', 'Action', '2D', 'Local Co-Op', 'Great Soundtrack', 'Online Co-Op', 'Fast-Paced', 'Local Multiplayer', 'Singleplayer', 'Colorful', '2.5D', 'Family Friendly', 'Multiplayer', 'Side Scroller', '2D Platformer']",29686,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
McPixel,McPixel is a save-the-day guy that you guide through 100 short challenges to prevent stuff from blowing up. You have only 20 seconds to save the day! Think quick!,Very Positive,87,2395,4.99,"['Point & Click', 'Comedy', 'Indie', 'Pixel Graphics', 'Puzzle', 'Adventure', 'Singleplayer', 'Funny', 'Action', '2D', 'Minigames', 'Short', 'Casual', 'Retro', 'Level Editor', 'Parody', 'Experimental', 'Great Soundtrack', 'Fast-Paced', 'Touch-Friendly']",20042,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Master Reboot,"Imagine a world where death is no longer final, where precious memories are saved to enjoy forever, where your soul is immortal. Master Reboot is a haunting first-person sci-fi adventure.",Mostly Positive,74,424,3.24,"['Adventure', 'Psychological Horror', 'Indie', 'Atmospheric', 'Horror', 'Sci-fi', 'Walking Simulator', 'Puzzle', 'Psychological', 'Futuristic', 'Exploration', 'Surreal', 'Cyberpunk', 'First-Person', 'Singleplayer', 'Psychedelic', 'Female Protagonist', 'Short', '3D Vision', 'Action']",19947,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Dark Siren,"Be careful not to be captured by the Dark Siren, find the note left by the sailors, uncover the truth, and escape.",Very Positive,92,89,2.99,"['Horror', 'Sexual Content', 'Nudity', 'Action', 'Dark', 'Psychological Horror', 'Dark Fantasy', 'Singleplayer', '3D', 'First-Person', 'Multiple Endings']",8057,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
